Burden (m),Spacing (m),Stemming (m),Powder Factor (Kg/m3),Stiffness ratio ,Backbreak (m)
4,5.4,4,0.6,2.75,4
4,5.2,4,0.47,2.75,4.5
3,3.75,3.2,0.25,3.67,2
4,5.4,4,0.48,2.75,4
4,4.8,4.1,0.58,3,5.4
3,4.8,2.8,0.24,3.33,1.5
3,4.8,3.2,0.27,3.67,2
3,4.5,2.9,0.2,3.33,1.5
4,4.5,4.1,0.5,3,5
4,4.5,4.1,0.4,3,5
4,5,4,0.4,2.75,3.5
4,5,4.1,0.52,3,5
4,5.6,4,0.5,2.75,4.5
4.5,5,4.3,0.62,2.67,6
3.5,5.01,3.8,0.47,3.14,3.5
3,4.2,3.6,0.33,3.67,2.5
2.5,4,2.3,0.2,3.6,1
3,4.5,2.8,0.3,3.33,1.5
5,5.2,4.5,1,2.4,9
2.5,4,2.4,0.15,3.6,1
4,5.2,4.1,0.5,3,5.5
4,5.2,4.1,0.7,3,5.5
4,5.2,4.1,0.65,3,5.5
4.5,5,4.3,0.64,2.67,6.5
3,4.2,3.6,0.22,3.67,2.5
4.5,5.22,4.3,0.6,2.67,7
4.5,5,4.5,0.9,2.67,8
3,4.2,3.6,0.2,3.67,3
4,5.4,4,0.6,2.75,4
4,5.2,4,0.47,2.75,4.5
3,3.75,3.2,0.25,3.67,2
4,5.4,4,0.48,2.75,4
4,4.8,4.1,0.58,3,5.5
4,5,4.1,0.7,3,5
3,4.5,3,0.27,3.33,2
3,4.5,3,0.3,3.33,2
3.5,4.8,3.6,0.33,3.14,3
2,3,1.8,0.17,4.5,1
3.5,4.8,3.8,0.3,3.14,3
3.5,4.8,3.8,0.36,3.14,3
3,4.5,2.8,0.24,3.33,1.5
3,4.5,3.2,0.27,3.67,2
3,4.5,2.9,0.2,3.33,1.5
4,5,4.1,0.5,3,5
4,5,4.1,0.4,3,5
4,5.6,4,0.4,2.75,3.5
4,5,4.1,0.52,3,5
4,5.2,4,0.5,2.75,4.5
4.5,5.4,4.3,0.62,2.67,6
4,5.2,4.1,0.7,3,5.5
4,5.2,4.1,0.65,3,5.5
4.5,5,4.3,0.64,2.67,6.5
3,4.2,3.6,0.22,3.67,2.5
4.5,5.22,4.3,0.6,2.67,7
4.5,5,4.5,0.9,2.67,8
3,4.2,3.6,0.2,3.67,3
4,5,4.1,0.7,3,5
3,4.5,3,0.27,3.33,2
3,4.5,3,0.3,3.33,2
3.5,4.8,3.6,0.33,3.14,3
2,3,1.8,0.17,4.5,1
3.5,4.8,3.8,0.3,3.14,3
3.5,3,3.8,0.36,3.14,3
3.5,5.01,3.8,0.47,3.14,3.5
3,4.2,3.6,0.33,3.67,2.5
2.5,4,2.3,0.2,3.6,1
3,4.5,2.8,0.3,3.33,1.5
5,5.2,4.5,1,2.4,9
2.5,4,2.4,0.15,3.6,1
4,5.2,4.1,0.5,3,5.5
