Hole ID,Depth,Charge,X,Y,Z
B680-R01-H01,13.80,556.6,501240.0,7286410.0,680.00
B680-R01-H02,14.12,563.6,501249.2,7286410.0,680.20
B680-R01-H03,14.28,568.3,501258.4,7286410.0,680.33
B680-R01-H04,14.19,570.0,501267.6,7286410.0,680.34
B680-R01-H05,13.91,568.4,501276.8,7286410.0,680.22
B680-R01-H06,13.57,563.7,501286.0,7286410.0,680.01
B680-R01-H07,13.35,556.6,501295.2,7286410.0,679.81
B680-R01-H08,13.36,548.3,501304.4,7286410.0,679.67
B680-R01-H09,13.59,539.9,501313.6,7286410.0,679.66
B680-R01-H10,13.94,532.7,501322.8,7286410.0,679.77
B680-R02-H01,14.04,531.3,501244.6,7286415.4,679.92
B680-R02-H02,14.11,529.5,501253.8,7286415.4,680.12
B680-R02-H03,13.93,531.0,501263.0,7286415.4,680.25
B680-R02-H04,13.60,535.5,501272.2,7286415.4,680.26
B680-R02-H05,13.29,542.5,501281.4,7286415.4,680.14
B680-R02-H06,13.15,550.8,501290.6,7286415.4,679.93
B680-R02-H07,13.26,559.2,501299.8,7286415.4,679.73
B680-R02-H08,13.56,566.4,501309.0,7286415.4,679.59
B680-R02-H09,13.89,571.5,501318.2,7286415.4,679.58
B680-R02-H10,14.10,573.5,501327.4,7286415.4,679.69
B680-R03-H01,13.84,575.7,501240.0,7286420.8,679.84
B680-R03-H02,13.59,571.3,501249.2,7286420.8,680.04
B680-R03-H03,13.25,564.5,501258.4,7286420.8,680.17
B680-R03-H04,12.99,556.2,501267.6,7286420.8,680.18
B680-R03-H05,12.95,547.8,501276.8,7286420.8,680.06
B680-R03-H06,13.14,540.4,501286.0,7286420.8,679.85
B680-R03-H07,13.47,535.2,501295.2,7286420.8,679.65
B680-R03-H08,13.78,533.0,501304.4,7286420.8,679.51
B680-R03-H09,13.89,534.1,501313.6,7286420.8,679.50
B680-R03-H10,13.76,538.4,501322.8,7286420.8,679.61
B680-R04-H01,13.55,548.6,501244.6,7286426.2,679.76
B680-R04-H02,13.22,556.8,501253.8,7286426.2,679.96
B680-R04-H03,13.03,565.3,501263.0,7286426.2,680.09
B680-R04-H04,13.09,572.7,501272.2,7286426.2,680.10
B680-R04-H05,13.35,578.0,501281.4,7286426.2,679.98
B680-R04-H06,13.70,580.4,501290.6,7286426.2,679.77
B680-R04-H07,13.94,579.5,501299.8,7286426.2,679.57
B680-R04-H08,13.96,575.4,501309.0,7286426.2,679.43
B680-R04-H09,13.75,568.8,501318.2,7286426.2,679.42
B680-R04-H10,13.41,560.7,501327.4,7286426.2,679.53
B680-R05-H01,13.37,555.7,501240.0,7286431.6,679.68
B680-R05-H02,13.28,548.1,501249.2,7286431.6,679.88
B680-R05-H03,13.43,542.7,501258.4,7286431.6,680.01
B680-R05-H04,13.74,540.1,501267.6,7286431.6,680.02
B680-R05-H05,14.07,540.9,501276.8,7286431.6,679.90
B680-R05-H06,14.23,544.8,501286.0,7286431.6,679.69
B680-R05-H07,14.15,551.3,501295.2,7286431.6,679.49
B680-R05-H08,13.87,559.4,501304.4,7286431.6,679.35
B680-R05-H09,13.53,567.9,501313.6,7286431.6,679.34
B680-R05-H10,13.31,575.5,501322.8,7286431.6,679.45
B680-R06-H01,13.30,584.6,501244.6,7286437.0,679.60
B680-R06-H02,13.53,587.3,501253.8,7286437.0,679.80
B680-R06-H03,13.87,586.8,501263.0,7286437.0,679.93
B680-R06-H04,14.15,583.0,501272.2,7286437.0,679.94
B680-R06-H05,14.23,576.6,501281.4,7286437.0,679.82
B680-R06-H06,14.06,568.6,501290.6,7286437.0,679.61
B680-R06-H07,13.73,560.1,501299.8,7286437.0,679.41
B680-R06-H08,13.42,552.4,501309.0,7286437.0,679.27
B680-R06-H09,13.27,546.7,501318.2,7286437.0,679.26
B680-R06-H10,13.37,543.8,501327.4,7286437.0,679.37
